 schemaname |                     tablename                     |                            indexname                            | tablespace |                                                                                 indexdef                                                                                  
 pg_catalog | pg_inherits                                       | pg_inherits_relid_seqno_index                                   |            | CREATE UNIQUE INDEX pg_inherits_relid_seqno_index ON pg_inherits USING btree (inhrelid, inhseqno)
 pg_catalog | pg_language                                       | pg_language_name_index                                          |            | CREATE UNIQUE INDEX pg_language_name_index ON pg_language USING btree (lanname)
 pg_catalog | pg_language                                       | pg_language_oid_index                                           |            | CREATE UNIQUE INDEX pg_language_oid_index ON pg_language USING btree (oid)
 pg_catalog | pg_largeobject                                    | pg_largeobject_loid_pn_index                                    |            | CREATE UNIQUE INDEX pg_largeobject_loid_pn_index ON pg_largeobject USING btree (loid, pageno)
 pg_catalog | pg_namespace                                      | pg_namespace_nspname_index                                      |            | CREATE UNIQUE INDEX pg_namespace_nspname_index ON pg_namespace USING btree (nspname)
 pg_catalog | pg_namespace                                      | pg_namespace_oid_index                                          |            | CREATE UNIQUE INDEX pg_namespace_oid_index ON pg_namespace USING btree (oid)
 pg_catalog | pg_opclass                                        | pg_opclass_am_name_nsp_index                                    |            | CREATE UNIQUE INDEX pg_opclass_am_name_nsp_index ON pg_opclass USING btree (opcmethod, opcname, opcnamespace)
 pg_catalog | pg_opclass                                        | pg_opclass_oid_index                                            |            | CREATE UNIQUE INDEX pg_opclass_oid_index ON pg_opclass USING btree (oid)
 pg_catalog | pg_operator                                       | pg_operator_oid_index                                           |            | CREATE UNIQUE INDEX pg_operator_oid_index ON pg_operator USING btree (oid)
 pg_catalog | pg_operator                                       | pg_operator_oprname_l_r_n_index                                 |            | CREATE UNIQUE INDEX pg_operator_oprname_l_r_n_index ON pg_operator USING btree (oprname, oprleft, oprright, oprnamespace)
 pg_catalog | pg_opfamily                                       | pg_opfamily_am_name_nsp_index                                   |            | CREATE UNIQUE INDEX pg_opfamily_am_name_nsp_index ON pg_opfamily USING btree (opfmethod, opfname, opfnamespace)
 pg_catalog | pg_opfamily                                       | pg_opfamily_oid_index                                           |            | CREATE UNIQUE INDEX pg_opfamily_oid_index ON pg_opfamily USING btree (oid)
 pg_catalog | pg_pltemplate                                     | pg_pltemplate_name_index                                        | pg_global  | CREATE UNIQUE INDEX pg_pltemplate_name_index ON pg_pltemplate USING btree (tmplname)
 pg_catalog | pg_proc                                           | pg_proc_oid_index                                               |            | CREATE UNIQUE INDEX pg_proc_oid_index ON pg_proc USING btree (oid)
 pg_catalog | pg_proc                                           | pg_proc_proname_args_nsp_index                                  |            | CREATE UNIQUE INDEX pg_proc_proname_args_nsp_index ON pg_proc USING btree (proname, proargtypes, pronamespace)
 pg_catalog | pg_rewrite                                        | pg_rewrite_oid_index                                            |            | CREATE UNIQUE INDEX pg_rewrite_oid_index ON pg_rewrite USING btree (oid)
 pg_catalog | pg_rewrite                                        | pg_rewrite_rel_rulename_index                                   |            | CREATE UNIQUE INDEX pg_rewrite_rel_rulename_index ON pg_rewrite USING btree (ev_class, rulename)
