day,provincia,active,ili
2014-01-20,BG,16,0
2014-01-20,MN,2,0
2014-01-20,BI,3,0
2014-01-20,SI,5,0
2014-01-20,CL,1,0
2014-01-20,PI,12,0
2014-01-20,FC,5,0
2014-01-20,MI,116,1
2014-01-20,LE,3,0
2014-01-20,RM,93,0
2014-01-20,TV,23,1
2014-01-20,PU,5,0
2014-01-20,VE,17,0
2014-01-20,GO,2,0
2014-01-20,MS,2,0
2014-01-20,MB,16,1
2014-01-20,LT,6,0
2014-01-20,SS,7,0
2014-01-20,LO,1,0
2014-01-20,TR,1,0
2014-01-20,VS,3,0
2014-01-20,LU,10,0
2014-01-20,NU,1,0
2014-01-20,PV,8,0
2014-01-20,VT,3,0
2014-01-20,CO,13,0
2014-01-20,SV,7,0
2014-01-20,BN,2,0
2014-01-20,VR,4,0
2014-01-20,SP,1,0
2014-01-20,AL,11,0
2014-01-20,ME,10,0
2014-01-20,VB,3,0
2014-01-20,CA,5,0
2014-01-20,RI,4,0
2014-01-20,RG,1,0
2014-01-20,BS,11,0
2014-01-20,IM,8,0
2014-01-20,PA,5,0
2014-01-20,SA,3,0
2014-01-20,MT,1,0
2014-01-20,RC,2,0
2014-01-20,CN,8,0
2014-01-20,AP,2,0
2014-01-20,VI,8,0
2014-01-20,FM,2,0
2014-01-20,FG,6,0
2014-01-20,RN,5,0
2014-01-20,OR,2,0
2014-01-20,VA,15,0
2014-01-20,UD,9,0
2014-01-20,TN,18,0
2014-01-20,VC,4,0
2014-01-20,CB,2,0
2014-01-20,SO,3,0
2014-01-20,TO,97,1
2014-01-20,CI,1,0
2014-01-20,TP,2,0
2014-01-20,MC,3,0
2014-01-20,CH,3,0
2014-01-20,TA,2,0
2014-01-20,RO,2,0
2014-01-20,BO,27,0
2014-01-20,BZ,15,0
2014-01-20,MO,13,0
2014-01-20,SR,3,0
2014-01-20,RA,9,0
2014-01-20,IS,1,0
2014-01-20,TS,11,0
2014-01-20,PO,2,0
2014-01-20,PR,4,0
2014-01-20,CR,9,0
2014-01-20,LC,7,0
2014-01-20,CE,8,0
2014-01-20,PG,4,0
2014-01-20,PD,25,0
2014-01-20,NO,4,0
2014-01-20,FI,17,1
2014-01-20,AG,2,0
2014-01-20,GE,12,0
2014-01-20,AR,5,0
2014-01-20,CS,1,0
2014-01-20,AQ,5,0
2014-01-20,GR,3,0
2014-01-20,OG,1,0
2014-01-20,AN,14,0
2014-01-20,BL,2,0
2014-01-20,RE,6,0
2014-01-20,BA,6,0
2014-01-20,LI,6,0
2014-01-20,CT,3,0
2014-01-20,FE,8,0
2014-01-20,BR,1,0
2014-01-20,NA,28,0
2014-01-21,SO,3,0
2014-01-21,BL,2,0
2014-01-21,TO,97,0
2014-01-21,TA,2,0
2014-01-21,PO,2,0
2014-01-21,MO,13,0
2014-01-21,SR,3,0
2014-01-21,CE,8,0
2014-01-21,RC,2,0
2014-01-21,GO,2,0
2014-01-21,FM,2,0
2014-01-21,VE,17,0
2014-01-21,VS,3,0
2014-01-21,FC,5,0
2014-01-21,VA,15,0
2014-01-21,GE,12,0
2014-01-21,SS,7,0
2014-01-21,RM,90,0
2014-01-21,NA,28,0
2014-01-21,CI,1,0
2014-01-21,SV,7,0
2014-01-21,BS,11,1
2014-01-21,CB,2,0
2014-01-21,MC,3,0
2014-01-21,CN,8,0
2014-01-21,LE,3,0
2014-01-21,PD,25,0
2014-01-21,FE,5,0
2014-01-21,BA,6,1
2014-01-21,AQ,5,0
2014-01-21,BO,27,0
2014-01-21,MS,2,0
2014-01-21,GR,3,0
2014-01-21,CO,13,0
2014-01-21,SP,1,0
2014-01-21,LU,10,0
2014-01-21,MB,16,0
2014-01-21,TV,23,1
2014-01-21,CL,1,0
2014-01-21,LT,6,0
2014-01-21,MI,115,0
2014-01-21,BG,16,0
2014-01-21,VI,8,0
2014-01-21,RN,5,0
2014-01-21,IM,8,0
2014-01-21,RE,6,0
2014-01-21,AL,11,0
2014-01-21,TP,2,0
2014-01-21,CA,5,0
2014-01-21,RG,1,0
2014-01-21,RI,4,0
2014-01-21,SA,3,0
2014-01-21,PA,5,0
2014-01-21,AP,2,0
2014-01-21,FG,6,0
2014-01-21,SI,5,0
2014-01-21,LO,1,0
2014-01-21,VT,3,0
2014-01-21,PV,8,0
2014-01-21,VR,4,0
2014-01-21,CS,1,0
2014-01-21,VB,3,0
2014-01-21,AR,5,0
2014-01-21,OG,1,0
2014-01-21,NO,4,0
2014-01-21,AN,14,0
2014-01-21,LI,6,0
2014-01-21,CT,3,0
2014-01-21,MN,2,0
2014-01-21,BR,1,0
2014-01-21,BI,3,0
2014-01-21,TR,1,0
2014-01-21,TS,11,0
2014-01-21,CR,9,0
2014-01-21,LC,7,0
2014-01-21,PU,5,0
2014-01-21,FI,17,0
2014-01-21,PI,12,0
2014-01-21,NU,1,0
2014-01-21,OR,2,0
2014-01-21,ME,10,0
2014-01-21,TN,18,0
2014-01-21,CH,3,0
2014-01-21,RA,8,0
2014-01-21,MT,1,0
2014-01-21,BZ,15,0
2014-01-21,PG,4,0
2014-01-21,RO,2,0
2014-01-21,UD,9,0
2014-01-21,AG,2,0
2014-01-21,BN,2,0
2014-01-21,PR,4,0
2014-01-21,IS,1,0
2014-01-21,VC,4,0
2014-01-22,BN,2,0
2014-01-22,BS,8,0
2014-01-22,PO,2,0
2014-01-22,NU,1,0
2014-01-22,SR,3,0
2014-01-22,CI,1,0
2014-01-22,UD,9,0
2014-01-22,BL,2,0
2014-01-22,VR,4,0
2014-01-22,AG,2,0
2014-01-22,MO,13,0
2014-01-22,GR,3,0
2014-01-22,TN,18,0
2014-01-22,ME,10,0
2014-01-22,NA,28,0
2014-01-22,PV,8,0
2014-01-22,LO,1,0
2014-01-22,AR,5,0
2014-01-22,SV,7,0
2014-01-22,AQ,5,0
2014-01-22,LU,10,1
2014-01-22,PR,4,0
2014-01-22,BA,6,0
2014-01-22,CN,8,0
2014-01-22,RE,6,0
2014-01-22,SA,3,0
2014-01-22,SI,5,0
2014-01-22,LC,7,0
2014-01-22,CO,13,0
2014-01-22,TP,2,0
2014-01-22,CR,9,0
2014-01-22,RA,8,0
2014-01-22,FE,5,0
2014-01-22,MN,2,0
2014-01-22,CH,3,0
2014-01-22,TR,1,0
2014-01-22,BI,3,0
2014-01-22,LI,6,0
2014-01-22,CT,3,0
2014-01-22,OG,1,0
