day,provincia,active,ili
2013-12-12,LE,3,0
2013-12-12,BO,33,0
2013-12-12,PR,3,0
2013-12-12,SR,3,0
2013-12-12,PG,5,0
2013-12-12,UD,7,0
2013-12-12,BL,2,0
2013-12-12,IS,1,0
2013-12-12,RC,2,0
2013-12-12,BG,15,0
2013-12-12,GO,2,0
2013-12-12,VA,14,0
2013-12-12,CS,1,0
2013-12-12,GE,11,0
2013-12-12,FC,4,0
2013-12-12,VE,18,0
2013-12-12,MT,2,0
2013-12-12,SS,8,0
2013-12-12,PV,6,0
2013-12-12,VR,4,0
2013-12-12,VB,3,0
2013-12-12,CL,1,0
2013-12-12,LI,5,0
2013-12-12,CT,2,0
2013-12-12,MN,2,0
2013-12-12,LU,5,0
2013-12-12,CO,12,0
2013-12-12,AL,9,0
2013-12-12,PI,11,0
2013-12-12,PU,4,0
2013-12-12,NA,30,0
2013-12-12,CH,8,0
2013-12-12,TS,10,0
2013-12-12,RA,9,0
2013-12-12,BI,4,0
2013-12-12,GR,3,0
2013-12-12,SP,1,0
2013-12-12,NO,3,0
2013-12-12,PE,1,0
2013-12-12,TV,20,1
2013-12-12,LT,7,0
2013-12-12,VI,10,0
2013-12-12,RG,1,0
2013-12-12,RN,5,0
2013-12-12,RM,101,1
2013-12-12,PA,7,0
2013-12-12,VS,1,0
2013-12-12,PT,1,0
2013-12-12,CB,2,0
2013-12-12,PD,24,0
2013-12-12,TO,101,0
2013-12-12,MS,2,0
2013-12-12,RE,5,0
2013-12-12,TP,2,0
2013-12-12,SO,2,0
2013-12-12,VC,2,0
2013-12-12,SV,12,0
2013-12-12,SI,3,0
2013-12-12,AG,2,0
2013-12-12,FM,1,0
2013-12-12,TR,1,0
2013-12-12,BN,1,0
2013-12-12,BZ,8,0
2013-12-12,RO,1,0
2013-12-12,BS,6,0
2013-12-12,LO,1,0
2013-12-12,VT,2,0
2013-12-12,IM,8,0
2013-12-12,AR,5,0
2013-12-12,AN,12,0
2013-12-12,OG,1,0
2013-12-12,BR,1,0
2013-12-12,MI,99,1
2013-12-12,FG,5,0
2013-12-12,CR,9,0
2013-12-12,CE,5,0
2013-12-12,AO,1,0
2013-12-12,AP,2,0
2013-12-12,LC,7,0
2013-12-12,SA,3,0
2013-12-12,RI,4,0
2013-12-12,FI,18,0
2013-12-12,CA,2,0
2013-12-12,MC,3,0
2013-12-13,MB,14,0
2013-12-13,SS,3,0
2013-12-13,VB,1,0
2013-12-13,VC,2,0
2013-12-13,AN,10,0
2013-12-13,RM,77,0
2013-12-13,PV,4,0
2013-12-13,VE,13,0
2013-12-13,CB,2,0
2013-12-13,FI,14,0
2013-12-13,SO,1,0
2013-12-13,CT,1,0
2013-12-13,MN,1,0
2013-12-13,PT,1,0
2013-12-13,SI,1,0
2013-12-13,PE,1,0
2013-12-13,LE,1,0
2013-12-13,TP,2,0
2013-12-13,RE,4,0
2013-12-13,PG,4,0
2013-12-13,TR,1,0
2013-12-13,LI,5,0
2013-12-13,CN,7,0
2013-12-13,PO,1,0
2013-12-13,MS,1,0
2013-12-13,BO,24,0
2013-12-13,SR,2,0
2013-12-13,BL,1,0
2013-12-13,GE,6,0
2013-12-13,MO,9,0
2013-12-13,BN,1,0
2013-12-13,MT,2,0
2013-12-13,TN,16,0
2013-12-13,BG,15,1
2013-12-13,CS,1,0
2013-12-13,IM,6,0
2013-12-13,BI,4,0
2013-12-13,CA,2,1
2013-12-13,VT,1,0
2013-12-13,FG,3,0
2013-12-13,RI,3,0
2013-12-13,NO,3,0
2013-12-13,LO,1,0
2013-12-13,FC,4,0
2013-12-13,SA,2,0
2013-12-13,AP,2,0
2013-12-13,BR,1,0
2013-12-13,TA,2,0
2013-12-13,BA,3,0
2013-12-13,PR,2,0
2013-12-13,CR,9,0
2013-12-13,BZ,8,0
2013-12-13,RO,1,0
2013-12-13,AR,5,0
2013-12-13,FM,1,0
2013-12-13,CO,11,0
2013-12-13,SP,1,0
2013-12-13,FE,4,0
2013-12-13,TV,14,0
2013-12-13,RC,1,0
2013-12-13,LC,6,0
2013-12-13,LT,6,0
2013-12-13,AL,5,0
2013-12-13,RG,1,0
2013-12-13,GR,2,0
2013-12-13,PA,4,0
2013-12-13,LU,5,0
2013-12-13,AQ,4,0
2013-12-13,RN,4,0
2013-12-13,CH,8,0
2013-12-13,CE,4,0
2013-12-13,VI,6,0
2013-12-13,ME,4,0
2013-12-13,VA,13,0
2013-12-13,TS,6,0
2013-12-13,RA,6,0
2013-12-13,PI,6,0
2013-12-13,AG,2,0
2013-12-13,TO,70,0
2013-12-13,MI,81,0
2013-12-13,SV,10,0
2013-12-13,NA,22,0
2013-12-13,UD,5,0
2013-12-13,MC,1,0
2013-12-13,PU,3,0
2013-12-13,BS,6,0
2013-12-13,GO,2,0
2013-12-13,PD,20,0
2013-12-13,VR,4,0
2013-12-13,OG,1,0
2013-12-14,VC,2,0
2013-12-14,MS,1,0
2013-12-14,TR,1,0
2013-12-14,RE,4,0
2013-12-14,TP,2,0
2013-12-14,SI,1,0
2013-12-14,BN,1,0
2013-12-14,PT,1,0
2013-12-14,CB,1,0
2013-12-14,RM,71,1
2013-12-14,PD,14,0
2013-12-14,PI,6,0
2013-12-14,TS,6,0
2013-12-14,NO,3,0
2013-12-14,BI,4,0
2013-12-14,PE,1,0
2013-12-14,LU,5,0
2013-12-14,CO,10,0
2013-12-14,UD,5,0
2013-12-14,GO,2,0
2013-12-14,RC,1,0
2013-12-14,GE,6,0
2013-12-14,FC,4,0
2013-12-14,VE,12,0
2013-12-14,VA,11,0
2013-12-14,CE,3,0
2013-12-14,FM,1,0
2013-12-14,TA,2,0
2013-12-14,MO,10,0
2013-12-14,PG,4,0
2013-12-14,FE,3,0
