day,provincia,active,ili
2014-01-28,LO,1,0
2014-01-28,SP,1,0
2014-01-28,GO,2,0
2014-01-28,SS,7,0
2014-01-28,TR,1,0
2014-01-28,CI,1,0
2014-01-28,CE,8,0
2014-01-28,BA,5,0
2014-01-28,PI,12,0
2014-01-28,RM,96,1
2014-01-28,VT,3,0
2014-01-28,NA,16,0
2014-01-28,IS,1,0
2014-01-28,BN,1,0
2014-01-28,PD,26,0
2014-01-28,CR,9,0
2014-01-28,FM,2,0
2014-01-28,SV,7,0
2014-01-28,AR,5,0
2014-01-28,BZ,15,0
2014-01-28,PT,1,0
2014-01-28,MS,1,0
2014-01-28,VE,18,0
2014-01-28,VA,12,0
2014-01-28,LI,6,0
2014-01-28,BR,1,0
2014-01-28,BS,11,0
2014-01-28,MC,3,0
2014-01-28,ME,6,0
2014-01-28,RC,2,0
2014-01-28,CB,2,0
2014-01-28,TP,2,0
2014-01-28,VI,10,0
2014-01-28,IM,8,0
2014-01-28,AO,1,0
2014-01-28,BG,13,0
2014-01-28,FE,8,0
2014-01-28,LT,7,1
2014-01-28,CA,3,0
2014-01-28,CS,1,0
2014-01-28,BI,3,0
2014-01-28,AQ,3,0
2014-01-28,CN,7,0
2014-01-28,FI,16,0
2014-01-28,PG,5,0
2014-01-28,MN,2,0
2014-01-28,MB,25,0
2014-01-28,LU,9,0
2014-01-28,NO,4,0
2014-01-28,RI,2,0
2014-01-28,RE,3,0
2014-01-28,VS,1,0
2014-01-28,PR,4,0
2014-01-28,FC,5,0
2014-01-28,MI,112,2
2014-01-28,BL,1,0
2014-01-28,TN,18,0
2014-01-28,CL,1,0
2014-01-28,VR,4,0
2014-01-28,PO,2,0
2014-01-28,CT,1,0
2014-01-28,LE,3,0
2014-01-28,RN,5,0
2014-01-28,BO,27,0
2014-01-28,RO,1,0
2014-01-28,MT,3,0
2014-01-28,SR,3,0
2014-01-28,RG,1,0
2014-01-28,RA,9,0
2014-01-28,TV,25,0
2014-01-28,GR,3,0
2014-01-28,AL,11,0
2014-01-28,SA,3,0
2014-01-28,AG,2,0
2014-01-28,TS,12,0
2014-01-28,TA,3,0
2014-01-28,CO,11,0
2014-01-28,GE,11,0
2014-01-28,AN,13,0
2014-01-28,CH,5,0
2014-01-28,AP,2,0
2014-01-28,VB,3,0
2014-01-28,TO,86,0
2014-01-28,SO,3,0
2014-01-29,BG,13,0
2014-01-29,IM,8,0
2014-01-29,PD,26,0
2014-01-29,AL,11,0
2014-01-29,CA,3,0
2014-01-29,RG,1,0
2014-01-29,AQ,3,0
2014-01-29,MB,25,0
2014-01-29,BA,4,0
2014-01-29,FE,8,0
2014-01-29,MI,112,0
2014-01-29,BR,1,0
2014-01-29,MT,3,0
2014-01-29,SS,7,0
2014-01-29,AR,5,0
2014-01-29,FI,16,0
2014-01-29,AO,1,0
2014-01-29,MC,3,0
2014-01-29,BS,11,0
2014-01-29,TN,18,0
2014-01-29,SV,7,0
2014-01-29,CI,1,0
2014-01-29,NA,16,0
2014-01-29,UD,9,0
2014-01-29,CN,7,0
2014-01-29,IS,1,0
2014-01-29,LE,3,0
2014-01-29,GO,2,0
2014-01-29,GR,3,0
2014-01-29,RC,2,0
2014-01-29,LT,7,0
2014-01-29,TV,25,1
2014-01-29,VE,18,0
2014-01-29,FC,5,0
2014-01-29,BO,27,0
2014-01-29,SP,1,0
2014-01-29,GE,11,0
2014-01-29,VA,12,0
2014-01-29,RN,5,0
2014-01-29,VI,10,0
2014-01-29,PA,6,0
2014-01-29,CE,8,0
2014-01-29,SR,3,0
2014-01-29,VB,3,0
2014-01-29,FM,2,0
2014-01-29,VR,4,0
2014-01-29,PV,8,0
2014-01-29,TA,3,0
2014-01-29,MN,2,0
2014-01-29,CT,1,0
2014-01-29,VT,3,0
2014-01-29,LI,6,0
2014-01-29,MO,12,0
2014-01-29,PR,4,0
