day,provincia,active,ili
2013-11-03,RA,10,0
2013-11-03,PN,1,0
2013-11-03,BL,3,0
2013-11-03,BO,29,0
2013-11-03,LI,5,0
2013-11-03,SR,3,0
2013-11-03,AN,15,0
2013-11-03,PV,5,0
2013-11-03,PA,7,0
2013-11-03,IM,8,0
2013-11-03,MB,24,0
2013-11-03,FE,5,0
2013-11-03,AQ,6,0
2013-11-03,CR,8,0
2013-11-03,RG,2,0
2013-11-03,AR,5,0
2013-11-03,VC,1,0
2013-11-03,BR,2,0
2013-11-03,LO,1,0
2013-11-03,CB,2,0
2013-11-03,VT,2,0
2013-11-03,AO,1,0
2013-11-03,FI,17,0
2013-11-03,OG,1,0
2013-11-03,VS,1,0
2013-11-03,FG,7,0
2013-11-03,VA,17,0
2013-11-03,PT,1,0
2013-11-03,GE,13,0
2013-11-03,FC,5,0
2013-11-03,RC,2,0
2013-11-03,RE,6,0
2013-11-03,GO,3,0
2013-11-03,MO,13,0
2013-11-03,TA,2,0
2013-11-03,RO,1,0
2013-11-03,VI,10,0
2013-11-03,BN,1,0
2013-11-03,LT,7,0
2013-11-03,FM,4,0
2013-11-03,TR,2,0
2013-11-03,CE,6,0
2013-11-03,PO,1,0
2013-11-03,SI,2,0
2013-11-03,PG,4,0
2013-11-03,TP,5,0
2013-11-03,GR,4,0
2013-11-03,LU,8,0
2013-11-03,CH,3,0
2013-11-03,PR,5,0
2013-11-03,NO,6,0
2013-11-03,TO,87,1
2013-11-03,BI,3,0
2013-11-03,VR,4,0
2013-11-03,OR,2,0
2013-11-03,PE,4,0
2013-11-03,MC,3,0
2013-11-03,TS,10,0
2013-11-03,MN,2,0
2013-11-03,CT,3,0
2013-11-03,BS,8,0
2013-11-03,PI,12,0
2013-11-03,TV,21,0
2013-11-03,CO,13,0
2013-11-03,MS,2,0
2013-11-03,LC,9,0
2013-11-03,UD,7,0
2013-11-03,IS,1,0
2013-11-03,CS,1,0
2013-11-03,RI,4,0
2013-11-03,PD,28,0
2013-11-03,RM,97,0
2013-11-03,TN,15,0
2013-11-03,BA,5,0
2013-11-03,SA,5,0
2013-11-03,AP,2,0
2013-11-03,SP,1,0
2013-11-03,AL,9,0
2013-11-03,CN,5,0
2013-11-03,SS,7,0
2013-11-03,SO,3,0
2013-11-03,AG,2,0
2013-11-03,BZ,9,0
2013-11-03,SV,14,0
2013-11-03,NA,23,0
2013-11-03,MT,2,0
2013-11-03,MI,106,0
2013-11-04,PU,7,0
2013-11-04,MN,2,0
2013-11-04,ME,10,0
2013-11-04,CT,3,0
2013-11-04,TV,21,0
2013-11-04,SP,1,0
2013-11-04,VC,1,0
2013-11-04,AP,2,0
2013-11-04,GR,4,0
2013-11-04,LC,9,0
2013-11-04,SA,5,0
2013-11-04,LU,8,0
2013-11-04,UD,7,0
2013-11-04,AO,1,0
2013-11-04,RI,4,0
2013-11-04,TN,15,0
2013-11-04,VB,3,0
2013-11-04,RG,2,0
2013-11-04,AN,15,0
2013-11-04,VR,4,0
2013-11-04,CA,4,0
2013-11-04,IM,8,0
2013-11-04,MC,3,0
2013-11-04,MO,13,0
2013-11-04,RN,7,0
2013-11-04,BS,8,0
2013-11-04,CB,2,0
2013-11-04,OG,1,0
2013-11-04,FG,7,0
2013-11-04,BO,29,0
2013-11-04,TA,2,0
2013-11-04,BA,5,0
2013-11-04,LE,4,0
2013-11-04,CN,5,0
2013-11-04,PD,28,0
2013-11-04,RM,97,0
2013-11-04,IS,1,0
2013-11-04,SV,14,0
2013-11-04,NA,23,0
2013-11-04,SS,7,0
2013-11-04,VT,2,0
2013-11-04,BG,14,0
2013-11-04,RE,6,0
2013-11-04,PT,1,0
2013-11-04,MT,2,0
2013-11-04,PG,4,0
2013-11-04,PE,4,0
2013-11-04,BR,2,0
2013-11-04,NO,6,0
2013-11-04,TP,5,0
2013-11-04,BI,3,0
2013-11-04,SI,2,0
2013-11-04,TS,10,0
2013-11-04,MI,106,1
2013-11-04,BN,1,0
2013-11-04,AL,9,0
2013-11-04,OR,2,0
2013-11-04,MS,2,0
2013-11-04,AR,5,0
2013-11-04,VE,19,0
2013-11-04,SR,3,0
2013-11-04,BL,3,0
2013-11-04,LO,1,0
2013-11-04,PN,1,0
2013-11-04,CO,13,0
2013-11-04,TR,2,0
2013-11-04,MB,24,0
2013-11-04,CS,1,0
2013-11-04,PR,5,0
2013-11-04,RC,2,0
2013-11-04,VA,17,1
2013-11-04,AG,2,0
2013-11-04,FI,17,0
2013-11-04,SO,3,0
2013-11-04,FC,5,0
2013-11-04,PI,12,0
2013-11-04,GO,3,0
2013-11-04,LI,5,0
2013-11-04,RA,10,0
2013-11-04,FM,4,0
2013-11-04,PV,5,0
2013-11-04,CE,6,0
2013-11-04,PO,1,0
2013-11-04,CR,8,0
2013-11-04,VS,1,0
2013-11-04,BZ,9,0
2013-11-04,PA,7,0
2013-11-04,GE,13,0
2013-11-04,RO,1,0
2013-11-04,CH,3,0
2013-11-04,VI,10,0
2013-11-04,FE,5,0
2013-11-04,LT,7,0
2013-11-04,TO,87,0
2013-11-04,AQ,6,0
2013-11-05,PV,5,0
2013-11-05,VE,19,0
2013-11-05,PI,12,0
2013-11-05,LU,8,0
2013-11-05,AQ,6,0
2013-11-05,IS,1,0
2013-11-05,UD,7,0
2013-11-05,TA,2,0
2013-11-05,MO,13,0
2013-11-05,PR,5,0
2013-11-05,PG,4,0
2013-11-05,CN,5,0
2013-11-05,RC,2,0
