day,provincia,active,ili
2014-01-01,PE,1,0
2014-01-01,VE,19,0
2014-01-01,SR,3,0
2014-01-01,GE,12,0
2014-01-01,PO,2,0
2014-01-01,CH,8,0
2014-01-01,CS,1,0
2014-01-01,VA,14,1
2014-01-01,GO,3,0
2014-01-01,CL,1,0
2014-01-01,FI,17,0
2014-01-01,LU,8,0
2014-01-01,RC,2,0
2014-01-01,RO,1,0
2014-01-01,AN,13,0
2014-01-01,BZ,14,0
2014-01-01,OG,1,0
2014-01-01,CZ,1,0
2014-01-01,RA,8,0
2014-01-01,PN,1,0
2014-01-01,TN,18,0
2014-01-01,BA,4,0
2014-01-01,LO,3,0
2014-01-01,NU,1,0
2014-01-01,CO,13,0
2014-01-01,IS,1,0
2014-01-01,IM,8,0
2014-01-01,PU,6,0
2014-01-01,CA,8,0
2014-01-01,UD,8,0
2014-01-01,BR,1,0
2014-01-01,FG,6,0
2014-01-01,SA,3,0
2014-01-01,AP,1,0
2014-01-01,RI,3,0
2014-01-01,TS,9,0
2014-01-01,CI,1,0
2014-01-01,OR,2,0
2014-01-01,TR,1,0
2014-01-01,MN,2,0
2014-01-01,MS,2,0
2014-01-01,NA,30,0
2014-01-01,CT,4,0
2014-01-01,CB,2,0
2014-01-01,LI,6,0
2014-01-01,VB,3,0
2014-01-01,RG,1,0
2014-01-01,AL,12,0
2014-01-01,VR,5,0
2014-01-01,BI,3,0
2014-01-01,PI,13,0
2014-01-01,PV,8,0
2014-01-01,TP,2,0
2014-01-01,PA,6,0
2014-01-01,SV,6,0
2014-01-01,MI,111,2
2014-01-01,RM,103,1
2014-01-01,VI,10,0
2014-01-01,BN,5,0
2014-01-01,RN,5,1
2014-01-01,BG,14,0
2014-01-01,LT,6,0
2014-01-01,MB,23,1
2014-01-01,TV,21,1
2014-01-01,AQ,6,0
2014-01-01,FE,7,0
2014-01-01,SI,4,0
2014-01-01,LE,3,0
2014-01-01,NO,4,0
2014-01-01,BS,8,0
2014-01-01,MC,3,0
2014-01-01,PG,4,0
2014-01-01,SP,1,0
2014-01-01,CN,11,0
2014-01-01,GR,4,0
2014-01-01,PR,5,0
2014-01-01,BO,32,0
2014-01-01,SS,7,0
2014-01-01,AG,2,0
2014-01-01,VC,5,0
2014-01-01,TA,4,0
2014-01-01,AO,1,0
2014-01-01,SO,2,0
2014-01-01,PD,27,0
2014-01-01,TO,104,0
2014-01-01,MO,14,0
2014-01-01,MT,2,0
2014-01-01,BL,2,0
2014-01-01,ME,10,0
2014-01-01,AR,5,0
2014-01-01,CE,7,0
2014-01-01,CR,9,0
2014-01-01,VT,2,0
2014-01-01,LC,7,0
2014-01-01,RE,6,0
2014-01-01,VS,5,0
2014-01-01,FM,2,0
2014-01-01,FC,5,0
2014-01-02,BA,4,0
2014-01-02,SR,3,0
2014-01-02,CO,13,0
2014-01-02,LC,7,0
2014-01-02,VT,2,0
2014-01-02,IS,1,0
2014-01-02,SO,2,0
2014-01-02,PG,4,0
2014-01-02,LU,8,0
2014-01-02,TN,18,0
2014-01-02,CR,9,0
2014-01-02,CL,1,0
2014-01-02,GR,4,0
2014-01-02,CE,7,0
2014-01-02,TO,104,0
2014-01-02,AR,5,0
2014-01-02,NU,1,0
2014-01-02,FM,2,0
2014-01-02,VC,5,0
2014-01-02,RI,3,0
2014-01-02,TA,4,0
2014-01-02,AP,1,0
2014-01-02,SA,3,0
2014-01-02,FC,5,0
2014-01-02,MC,3,0
2014-01-02,MN,2,0
2014-01-02,PN,1,0
2014-01-02,AG,2,0
2014-01-02,VE,19,0
2014-01-02,CS,1,0
2014-01-02,AO,1,0
2014-01-02,MO,14,1
2014-01-02,RG,1,0
2014-01-02,VR,5,0
2014-01-02,UD,8,0
2014-01-02,ME,10,0
2014-01-02,LE,3,0
2014-01-02,AL,12,0
2014-01-02,FG,6,0
2014-01-02,GE,12,0
2014-01-02,NO,4,0
2014-01-02,FI,17,0
2014-01-02,MS,2,0
2014-01-02,PA,6,0
2014-01-02,LO,3,0
2014-01-02,RO,1,0
2014-01-02,PD,27,0
2014-01-02,VS,5,0
2014-01-02,RN,5,0
2014-01-02,BI,3,0
2014-01-02,MB,23,0
2014-01-02,AQ,6,0
2014-01-02,FE,7,0
2014-01-02,CN,11,0
2014-01-02,BZ,14,0
2014-01-02,BR,1,0
2014-01-02,IM,8,0
2014-01-02,RM,103,1
2014-01-02,MI,111,0
2014-01-02,VI,10,0
2014-01-02,PV,8,0
2014-01-02,PR,5,0
2014-01-02,VA,14,1
2014-01-02,CA,8,0
2014-01-02,CI,1,0
2014-01-02,NA,30,0
2014-01-02,OG,1,0
2014-01-02,CZ,1,0
2014-01-02,LT,6,0
2014-01-02,PE,1,0
2014-01-02,SI,4,0
2014-01-02,VB,3,0
2014-01-02,PO,2,0
2014-01-02,PI,13,0
2014-01-02,AN,13,0
2014-01-02,PU,6,0
2014-01-02,RA,8,0
2014-01-02,TV,21,0
2014-01-02,BL,2,0
2014-01-02,OR,2,0
2014-01-02,LI,6,0
2014-01-02,BN,5,0
2014-01-02,SS,7,0
2014-01-02,CT,4,0
2014-01-02,MT,2,0
2014-01-02,RE,6,0
2014-01-02,CH,8,0
2014-01-02,BG,14,0
2014-01-02,TS,9,0
2014-01-02,TP,2,0
2014-01-02,BS,8,0
2014-01-02,BO,32,0
2014-01-02,SP,1,0
2014-01-02,CB,2,0
2014-01-02,GO,3,0
