day,provincia,active,ili
2014-01-27,SP,1,0
2014-01-27,CB,2,0
2014-01-27,MI,119,1
2014-01-27,CL,1,0
2014-01-27,CO,14,0
2014-01-27,BG,14,0
2014-01-27,BI,3,0
2014-01-27,IM,8,0
2014-01-27,PD,27,0
2014-01-27,RI,3,0
2014-01-27,BS,11,1
2014-01-27,VA,16,0
2014-01-27,VS,3,0
2014-01-27,PR,4,0
2014-01-27,VI,10,0
2014-01-27,PT,1,0
2014-01-27,LU,10,0
2014-01-27,AP,3,0
2014-01-27,CN,8,0
2014-01-27,SA,3,0
2014-01-27,CA,8,0
2014-01-27,UD,10,0
2014-01-27,CS,1,0
2014-01-27,TA,5,0
2014-01-27,TR,2,0
2014-01-27,BT,1,0
2014-01-27,RG,1,0
2014-01-27,PA,6,0
2014-01-27,AL,12,0
2014-01-27,GO,2,0
2014-01-27,TO,104,0
2014-01-27,TS,12,0
2014-01-27,VC,3,0
2014-01-27,FC,6,0
2014-01-27,CR,10,0
2014-01-27,RA,9,0
2014-01-27,FG,6,0
2014-01-27,CI,1,0
2014-01-27,PV,9,1
2014-01-27,TV,26,0
2014-01-27,PO,2,0
2014-01-27,LT,7,0
2014-01-27,LO,1,0
2014-01-27,MT,3,0
2014-01-27,BA,6,0
2014-01-27,VE,18,1
2014-01-27,IS,1,0
2014-01-27,TP,2,0
2014-01-27,PI,13,0
2014-01-27,BR,1,0
2014-01-27,CH,5,0
2014-01-27,FM,2,0
2014-01-27,RE,5,0
2014-01-27,OR,2,0
2014-01-27,ME,7,1
2014-01-27,PU,5,0
2014-01-27,RM,104,1
2014-01-27,AO,1,0
2014-01-27,MO,14,0
2014-01-27,GE,12,0
2014-01-27,FI,17,0
2014-01-27,AR,5,0
2014-01-27,LE,4,0
2014-01-27,VB,3,0
2014-01-27,NU,1,0
2014-01-27,MS,2,0
2014-01-27,RN,5,0
2014-01-27,BZ,15,0
2014-01-27,PG,5,0
2014-01-27,BN,6,0
2014-01-27,BO,30,0
2014-01-27,RO,1,0
2014-01-27,SR,3,0
2014-01-27,VR,5,0
2014-01-27,TN,21,0
2014-01-27,CT,3,0
2014-01-27,NA,28,0
2014-01-27,AG,2,0
2014-01-27,LC,7,0
2014-01-27,SV,8,0
2014-01-27,AQ,5,0
2014-01-27,CE,8,0
2014-01-27,RC,2,0
2014-01-27,NO,4,0
2014-01-27,FE,9,0
2014-01-27,SO,3,0
2014-01-27,MC,3,0
2014-01-27,AN,15,0
2014-01-27,SI,5,0
2014-01-27,BL,2,0
2014-01-27,MN,2,0
2014-01-27,SS,7,0
2014-01-27,MB,25,0
2014-01-27,VT,3,0
2014-01-27,GR,4,0
2014-01-27,LI,6,0
2014-01-28,LU,10,0
2014-01-28,PA,6,0
2014-01-28,PI,13,0
2014-01-28,MN,2,0
2014-01-28,BA,6,0
2014-01-28,OR,2,0
2014-01-28,VA,16,0
2014-01-28,CA,8,0
2014-01-28,PV,9,1
2014-01-28,RM,105,1
2014-01-28,VR,5,0
2014-01-28,CT,3,0
2014-01-28,AP,3,0
2014-01-28,LI,6,0
2014-01-28,RI,3,0
2014-01-28,PT,1,0
2014-01-28,CB,2,0
2014-01-28,GO,2,0
2014-01-28,VB,3,0
2014-01-28,TN,21,0
2014-01-28,FM,2,0
2014-01-28,SA,3,0
2014-01-28,PD,27,0
2014-01-28,CE,8,0
2014-01-28,MO,14,0
2014-01-28,PO,2,0
2014-01-28,CR,10,0
2014-01-28,TA,5,0
2014-01-28,VS,3,0
2014-01-28,LE,4,0
2014-01-28,GE,12,0
2014-01-28,PR,4,0
2014-01-28,LC,7,0
2014-01-28,CN,8,0
2014-01-28,AL,12,0
2014-01-28,MI,119,2
2014-01-28,PG,5,0
2014-01-28,FE,9,0
2014-01-28,MC,3,0
2014-01-28,AQ,5,0
2014-01-28,TO,103,0
2014-01-28,MB,25,0
2014-01-28,AN,15,0
2014-01-28,BS,11,0
2014-01-28,RO,1,0
2014-01-28,RG,1,0
2014-01-28,SO,3,0
2014-01-28,SV,8,0
2014-01-28,NA,28,0
2014-01-28,VC,3,0
2014-01-28,LO,1,0
2014-01-28,CI,1,0
2014-01-28,VE,18,0
2014-01-28,AG,2,0
2014-01-28,SS,7,0
2014-01-28,VT,3,0
2014-01-28,AR,5,0
2014-01-28,BR,1,0
2014-01-28,BT,1,0
2014-01-28,BZ,15,0
2014-01-28,AO,1,0
2014-01-28,FI,17,0
2014-01-28,RC,2,0
2014-01-28,CO,14,0
2014-01-28,MT,3,0
2014-01-28,IS,1,0
2014-01-28,CL,1,0
2014-01-28,UD,10,0
2014-01-28,CS,1,0
2014-01-28,MS,2,0
2014-01-28,RE,5,0
2014-01-28,TP,2,0
2014-01-28,SI,5,0
2014-01-28,BG,14,0
2014-01-28,GR,4,0
2014-01-28,SP,1,0
2014-01-28,TR,2,0
2014-01-28,BN,6,0
2014-01-28,LT,7,1
2014-01-28,TV,26,0
2014-01-28,BL,2,0
2014-01-28,VI,10,0
2014-01-28,BO,30,0
2014-01-28,SR,3,0
2014-01-28,RN,5,0
2014-01-28,NO,4,0
2014-01-28,FG,6,0
2014-01-28,RA,9,0
2014-01-28,CH,5,0
2014-01-28,NU,1,0
2014-01-28,BI,3,0
2014-01-28,TS,12,0
2014-01-28,PU,5,0
2014-01-28,FC,6,0
2014-01-28,ME,7,0
2014-01-28,IM,8,0
2014-01-29,CO,14,0
2014-01-29,TS,12,0
2014-01-29,PT,1,0
2014-01-29,MO,14,0
2014-01-29,CB,2,0
2014-01-29,CA,8,0
2014-01-29,TN,21,0
2014-01-29,TR,2,0
2014-01-29,AR,5,0
2014-01-29,IM,8,0
2014-01-29,RC,2,0
2014-01-29,PR,4,0
2014-01-29,GR,4,0
2014-01-29,AN,15,0
2014-01-29,CL,1,0
2014-01-29,SI,5,0
2014-01-29,AQ,5,0
2014-01-29,FE,9,0
2014-01-29,AG,2,0
2014-01-29,CT,3,0
2014-01-29,MS,2,0
2014-01-29,VR,5,0
2014-01-29,RN,5,0
2014-01-29,GO,2,0
2014-01-29,IS,1,0
2014-01-29,CN,8,0
2014-01-29,PG,5,0
2014-01-29,BR,1,0
2014-01-29,CI,1,0
2014-01-29,ME,7,0
2014-01-29,FG,6,1
2014-01-29,MI,119,0
2014-01-29,BG,14,0
2014-01-29,MN,2,0
2014-01-29,PO,2,0
2014-01-29,AP,3,0
2014-01-29,PI,13,0
2014-01-29,SO,3,0
2014-01-29,OR,2,0
2014-01-29,SA,3,1
2014-01-29,LO,1,0
2014-01-29,VS,3,0
2014-01-29,RI,3,0
2014-01-29,BZ,15,0
2014-01-29,MB,25,0
2014-01-29,SR,3,0
2014-01-29,LC,7,0
2014-01-29,UD,10,0
2014-01-29,BS,11,0
2014-01-29,MC,3,0
2014-01-29,BN,6,0
2014-01-29,AO,1,0
2014-01-29,BT,1,0
2014-01-29,CR,10,0
2014-01-29,BO,30,0
2014-01-29,PV,9,0
2014-01-29,LU,10,0
2014-01-29,FI,17,0
2014-01-29,PD,27,0
2014-01-29,CS,1,0
2014-01-29,FM,2,0
2014-01-29,VB,3,0
2014-01-29,BI,3,0
2014-01-29,SS,7,0
2014-01-29,RM,105,0
2014-01-29,MT,3,0
2014-01-29,LI,6,0
2014-01-29,RG,1,0
2014-01-29,TA,5,0
2014-01-29,SV,8,0
2014-01-29,RE,5,0
2014-01-29,TP,2,0
2014-01-29,NA,28,0
2014-01-29,TO,103,0
2014-01-29,BL,2,0
2014-01-29,CE,8,0
2014-01-29,VC,3,0
2014-01-29,AL,12,0
2014-01-29,BA,5,0
2014-01-29,PA,6,0
2014-01-29,RA,9,0
2014-01-29,VA,16,0
2014-01-29,NO,4,0
2014-01-29,VT,3,0
2014-01-29,PU,5,0
2014-01-29,VI,10,0
2014-01-29,SP,1,0
2014-01-29,RO,1,0
2014-01-29,NU,1,0
2014-01-29,GE,12,0
2014-01-29,LE,4,0
2014-01-29,FC,6,0
2014-01-29,VE,18,0
2014-01-29,CH,5,0
2014-01-29,TV,26,1
2014-01-29,LT,7,0
2014-01-30,LU,10,0
2014-01-30,MO,14,0
2014-01-30,UD,10,0
2014-01-30,CE,8,0
2014-01-30,IS,1,0
2014-01-30,FM,2,0
2014-01-30,PG,5,0
2014-01-30,PR,4,0
2014-01-30,TO,103,0
2014-01-30,BA,5,0
2014-01-30,AP,3,0
2014-01-30,SA,3,0
2014-01-30,RI,3,0
2014-01-30,CA,8,0
2014-01-30,PO,2,0
2014-01-30,VI,10,0
2014-01-30,IM,8,0
2014-01-30,RO,1,0
2014-01-30,BZ,15,0
2014-01-30,FG,6,0
2014-01-30,SO,3,0
2014-01-30,AG,2,0
2014-01-30,LC,7,0
2014-01-30,VS,3,0
2014-01-30,ME,7,0
2014-01-30,RN,5,0
2014-01-30,AN,15,0
2014-01-30,BN,6,0
2014-01-30,PA,6,0
2014-01-30,GR,4,0
2014-01-30,SP,1,0
2014-01-30,LT,7,0
2014-01-30,TV,26,0
2014-01-30,PU,5,0
2014-01-30,MS,2,0
2014-01-30,RE,5,0
2014-01-30,TP,2,0
2014-01-30,NU,1,0
2014-01-30,SI,5,0
2014-01-30,CH,5,0
2014-01-30,TR,2,0
2014-01-30,RA,9,0
2014-01-30,RM,105,0
2014-01-30,PV,9,0
2014-01-30,VR,5,0
2014-01-30,VB,3,0
2014-01-30,LI,6,0
2014-01-30,CT,3,0
2014-01-30,PT,1,0
2014-01-30,CB,2,0
2014-01-30,MN,2,0
2014-01-30,BG,14,0
2014-01-30,CS,1,0
2014-01-30,PD,27,0
2014-01-30,MT,3,0
2014-01-30,SR,3,0
2014-01-30,BO,30,0
2014-01-30,BT,1,0
2014-01-30,BL,2,0
2014-01-30,BI,3,0
2014-01-30,NO,4,0
2014-01-30,CN,8,0
2014-01-30,LE,4,0
2014-01-30,OR,2,0
2014-01-30,PI,13,0
2014-01-30,SS,7,0
2014-01-30,CI,1,0
2014-01-30,TS,12,0
2014-01-30,NA,27,1
2014-01-30,SV,8,0
2014-01-30,BS,10,0
2014-01-30,CL,1,0
2014-01-30,MC,3,0
2014-01-30,CO,14,0
2014-01-30,BR,1,0
2014-01-30,AR,5,0
2014-01-30,VT,3,0
2014-01-30,VC,3,0
2014-01-30,LO,1,0
2014-01-30,TN,21,0
2014-01-30,FI,17,0
2014-01-30,AO,1,0
2014-01-30,MI,119,1
2014-01-30,MB,25,0
2014-01-30,AQ,5,0
2014-01-30,FE,9,0
2014-01-30,RC,2,0
2014-01-30,GO,2,0
2014-01-30,CR,10,1
2014-01-30,VA,16,0
2014-01-30,AL,12,0
2014-01-30,RG,1,0
2014-01-30,GE,12,0
2014-01-30,FC,6,0
2014-01-30,VE,18,0
2014-01-30,TA,5,0
2014-01-31,PO,2,0
2014-01-31,CB,2,0
2014-01-31,NO,3,0
2014-01-31,GO,1,0
2014-01-31,SO,2,0
2014-01-31,AO,1,0
2014-01-31,MS,2,0
2014-01-31,IM,8,0
2014-01-31,TS,10,0
2014-01-31,VC,3,0
2014-01-31,PD,21,0
2014-01-31,TO,101,0
2014-01-31,VA,16,0
2014-01-31,FI,14,0
2014-01-31,BI,3,0
2014-01-31,MB,25,0
2014-01-31,MO,11,0
2014-01-31,BR,1,0
2014-01-31,FE,9,0
2014-01-31,CS,1,0
2014-01-31,LE,3,0
2014-01-31,CH,5,0
2014-01-31,AR,5,0
2014-01-31,PU,5,0
2014-01-31,RM,104,1
2014-01-31,SS,7,0
2014-01-31,PT,1,0
2014-01-31,TN,20,0
2014-01-31,CL,1,0
2014-01-31,SV,8,0
2014-01-31,NA,27,1
2014-01-31,NU,1,0
2014-01-31,SR,3,0
2014-01-31,BO,30,0
2014-01-31,BL,2,0
2014-01-31,CO,13,0
2014-01-31,BA,5,0
2014-01-31,PG,5,0
2014-01-31,VE,18,0
2014-01-31,VI,7,0
2014-01-31,RI,3,0
2014-01-31,MT,3,0
2014-01-31,LU,10,0
2014-01-31,LO,1,0
2014-01-31,LC,7,0
2014-01-31,RA,8,0
2014-01-31,VT,3,0
2014-01-31,LI,5,1
2014-01-31,PV,9,0
2014-01-31,AQ,5,0
2014-01-31,CE,7,0
2014-01-31,RO,1,0
2014-01-31,FG,5,0
2014-01-31,SI,4,0
2014-01-31,PR,4,0
2014-01-31,CT,3,0
2014-01-31,FC,5,0
2014-01-31,PI,13,0
2014-01-31,UD,8,0
2014-01-31,OR,2,0
2014-01-31,IS,1,0
2014-01-31,TP,2,0
2014-01-31,RN,5,0
2014-01-31,ME,7,0
2014-01-31,RE,5,0
2014-01-31,LT,7,0
2014-01-31,BT,1,0
2014-01-31,BZ,15,0
2014-01-31,RC,1,0
2014-01-31,MN,2,0
2014-01-31,TV,24,0
2014-01-31,MC,3,0
2014-01-31,CN,5,0
2014-01-31,VS,3,0
2014-01-31,TR,2,0
2014-01-31,SP,1,0
2014-01-31,AN,14,0
2014-01-31,CI,1,0
2014-01-31,BS,10,0
2014-01-31,BN,6,0
2014-01-31,GE,11,0
2014-01-31,VR,5,0
2014-01-31,GR,4,0
2014-01-31,AP,3,0
2014-01-31,RG,1,0
2014-01-31,AL,12,0
2014-01-31,CA,8,0
2014-01-31,VB,3,0
2014-01-31,CR,10,0
2014-01-31,TA,5,0
2014-01-31,AG,2,0
2014-01-31,BG,14,0
2014-01-31,SA,3,0
2014-01-31,FM,1,0
2014-01-31,PA,6,0
2014-01-31,MI,113,0
2014-02-01,TP,2,0
2014-02-01,PA,6,0
2014-02-01,VE,17,0
